"Game","Type","File","Action","Notes"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1212.00-t1224.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\017__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t72720.00-t73440.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t1292.00-t1329.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\018__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_GOAL__t77520.00-t79740.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\019__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1369.00-t1383.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\019__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t82140.00-t82980.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\020__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1393.00-t1409.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\020__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t83580.00-t84540.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\021__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1437.00-t1472.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\022__2025-09-20__TSC_vs_Greenwood__GOAL__t1578.00-t1586.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\023__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1711.00-t1722.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2718000.00-t2754000.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\025__2025-09-20__TSC_vs_Greenwood__GOAL__t1885.00-t1895.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\026__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1951.00-t1962.00.mp4","QUARANTINE","Unparseable name or wrong tag"
"2025-09-20__TSC_vs_Greenwood","ORPHAN","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\027__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2040.00-t2058.00.mp4","QUARANTINE","Unparseable name or wrong tag"
