time,in_play,reset,audio_rms,hf_ratio,flow
2120.6,False,False,0.30858347,0.03934455,0.18792831612539954
2120.7,False,False,0.32315978,0.21298291,0.13933756647751483
2120.8,False,False,0.3176765,0.043079082,0.19033490516786677
2120.9,False,False,0.34005764,0.16252644,0.2134376224307152
2121.0,False,False,0.36911678,0.01436681,0.28726722836521085
2121.1,False,False,0.41424173,0.013000753,0.21760125342693953
2121.2,False,False,0.4797226,0.020082004,0.19691780417858062
2121.3,False,False,0.57304657,0.022180961,0.13364272034006958
2121.4,False,False,0.6460343,0.000865266,0.2602944078284294
2121.5,False,False,0.77258945,0.012842343,0.22647028642762665
2121.6,False,False,0.75755054,0.18219037,0.1800044769523851
2121.7,False,False,0.7088097,0.06839,0.2132016480632922
2121.8,False,False,0.6466904,0.0139939,0.1845550289530637
2121.9,False,False,0.53486466,0.005706674,0.2899580943136202
2122.0,False,False,0.68767625,0.0,0.2611164587426097
2122.1,False,False,0.71068484,0.016036049,0.2185542396433958
2122.2,False,False,0.74302775,0.023864819,0.1663155055390175
2122.3,False,False,0.7198841,0.232244,0.22747445003491465
2122.4,False,False,0.6064466,0.010389729,0.2383872881748923
2122.5,False,False,0.6039701,0.11804611,0.24845104304618482
2122.6,False,False,0.6186442,0.021310586,0.1949076089551004
2122.7,False,False,0.69644254,0.28409714,0.3225377033310505
2122.8,False,False,0.79075116,0.05513831,0.2917258124804758
2122.9,False,False,0.92634064,0.0,0.44598972650991175
2123.0,False,False,1.0,0.0,0.634195481940133
2123.1,True,False,1.0,0.019320002,1.005816114332962
2123.2,True,False,1.0,0.07222772,1.0785394572820197
2123.3,True,False,1.0,0.045861486,1.9489062833558053
2123.4,True,False,1.0,0.0,2.6788899943789803
2123.5,True,False,1.0,0.0,3.388644563844106
2123.6,True,False,1.0,0.0,4.239532340434835
2123.7,True,False,1.0,0.0,5.480600372776118
2123.8,True,False,1.0,0.015294265,5.221930427160161
2123.9,True,False,1.0,0.008020864,4.477868788155803
2124.0,True,False,1.0,0.006241198,3.6279902719940953
2124.1,True,False,1.0,0.0064339573,2.8700650837829027
2124.2,True,False,1.0,0.05976043,2.4853316805330956
2124.3,True,False,1.0,0.016068514,2.463990041748242
2124.4,True,False,1.0,0.0,2.457033991912476
2124.5,True,False,1.0,0.0,2.384045653120141
2124.6,True,False,1.0,0.0,2.3848006836078226
2124.7,True,False,1.0,0.0,2.325579300404494
2124.8,True,False,1.0,0.024648953,2.295206433913827
2124.9,True,False,1.0,0.0,2.2338643171981514
2125.0,True,False,1.0,0.028077746,2.244176532303923
2125.1,True,False,1.0,0.11719308,2.225788437292575
2125.2,True,False,1.0,0.07681918,2.236291855369728
2125.3,True,False,1.0,0.36856332,2.262363615696459
2125.4,True,False,1.0,0.10252678,2.297184586541556
2125.5,True,False,1.0,0.0,2.319673550225901
2125.6,True,False,1.0,0.015958766,2.3063800921309783
2125.7,True,False,1.0,0.0,2.3189779418469603
2125.8,True,False,1.0,0.0060309824,2.362774619127285
2125.9,True,False,1.0,0.0,2.3696897245240214
2126.0,True,False,1.0,0.0,2.364515905124663
2126.1,True,False,1.0,0.028076008,2.3820172651387876
2126.2,True,False,1.0,0.008570942,2.3871968610710352
2126.3,True,False,1.0,0.0,2.412920679855729
2126.4,True,False,1.0,0.012084485,2.397995867642449
2126.5,True,False,1.0,0.10022653,2.3676693007065817
2126.6,True,False,1.0,0.0,2.3581046060961155
2126.7,True,False,1.0,0.0,2.413562198509077
2126.8,True,False,1.0,0.0,2.4211770445165985
2126.9,True,False,1.0,0.0,2.484549071046099
2127.0,True,False,1.0,0.027738178,2.5947897773115955
2127.1,True,False,1.0,0.0,2.944250479271548
2127.2,True,False,1.0,0.0020092498,4.146384879304158
2127.3,True,False,1.0,0.025225217,5.478101695279507
2127.4,True,False,1.0,0.0,5.760066815985151
2127.5,True,False,1.0,0.0,4.943720564421738
2127.6,True,False,1.0,0.0,3.949325349203151
2127.7,True,False,1.0,0.0,3.345660720915519
2127.8,True,False,1.0,0.06943809,2.2681585467063683
2127.9,True,False,1.0,0.04768178,1.6399595510513416
2128.0,True,False,1.0,0.028916433,1.252398879603959
2128.1,True,False,1.0,0.0,1.0361005066034599
2128.2,True,False,1.0,0.123606674,0.7452982309355867
2128.3,True,False,1.0,0.0,0.28572188734914333
2128.4,False,False,1.0,0.0,0.22513421005745657
2128.5,False,False,1.0,0.0,0.2953644170646786
2128.6,False,False,1.0,0.0,0.31444721931782726
2128.7,False,False,1.0,0.0,0.22374181991295497
2128.8,False,False,1.0,0.0,0.19670840072787246
2128.9,False,False,1.0,0.012985404,0.2541352282924444
2129.0,False,False,1.0,0.008497298,0.3263623013981003
2129.1,False,False,1.0,0.051868208,0.3712351607782782
2129.2,False,False,1.0,0.062235706,0.3549137692142604
2129.3,False,False,1.0,0.0141717885,0.3325085875946598
2129.4,False,False,1.0,0.013605089,0.5795225566125293
2129.5,False,False,1.0,0.0,0.43866790011413226
2129.6,False,False,1.0,0.0,0.374751749543002
2129.7,False,False,1.0,0.021443928,0.28341164853760076
2129.8,False,False,1.0,0.0,0.47184158599748166
2129.9,False,False,1.0,0.0,0.3329307591630165
2130.0,False,False,1.0,0.0,0.31427988151873104
2130.1,False,False,1.0,0.029284978,0.2671037781240405
2130.2,False,False,1.0,0.0,0.276273754478534
2130.3,False,False,1.0,0.0,0.25434898855659105
2130.4,False,False,1.0,0.0,0.2897004832961805
2130.5,False,False,1.0,0.0,0.23278919935795672
2130.6,False,False,1.0,0.05182817,0.23187933465720037
2130.7,False,False,1.0,0.0,0.31214419671604854
2130.8,False,False,1.0,0.07847141,0.20433254533722633
2130.9,False,False,1.0,0.0,0.3050876335587811
2131.0,False,False,1.0,0.008181974,0.30388374180328875
2131.1,False,False,1.0,0.0,0.3244924810761284
2131.2,False,False,1.0,0.16543612,0.23488471089666388
2131.3,False,False,1.0,0.0,0.20396412427113153
2131.4,False,False,1.0,0.0,0.2685359068928115
2131.5,False,False,1.0,0.0,0.32556605326063615
2131.6,False,False,1.0,0.0,0.35928717536610966
2131.7,False,False,1.0,0.0,0.31998727649115166
2131.8,False,False,1.0,0.0,0.26877831749851866
2131.9,False,False,1.0,0.0,0.2941117843447393
