"game_tag","clip_id","label","intended_start_s","intended_end_s","intended_duration","probed_duration","drift_sec","bytes","modified_local","relative_path","absolute_path"
"2025-09-20","004","TSC vs Greenwood  PRESSURE TWO SHOTS","444","456","12","12.075","0.075","35104252","10/5/2025 12:09:02 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00.mp4"
"2025-09-20","005","TSC vs Greenwood  WIN FREE KICK","538","553","15","15.109","0.109","32584568","10/5/2025 12:08:59 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00.mp4"
"2025-09-20","006","TSC vs RVFC  SHOT","517","528","11","11.175","0.175","18871765","10/5/2025 12:09:08 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00.mp4"
"2025-09-20","006","TSC vs Greenwood  BUILD UP PLAY SHOT","685","708","23","23.109","0.109","39077797","10/5/2025 12:09:00 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00.mp4"
"2025-09-20","007","TSC vs RVFC  PRESSURE GOAL","529","547","18","18.075","0.075","32863338","10/5/2025 12:09:06 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\007__2025-09-20__TSC_vs_RVFC__PRESSURE_GOAL__t529.00-t547.00.mp4"
"2025-09-20","007","TSC vs Greenwood  DRIBBLING SHOT","739","752","13","13.108","0.108","31807949","10/5/2025 12:08:57 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00.mp4"
"2025-09-20","008","TSC vs Greenwood  PRESSURE SHOT","754","783","29","29.075","0.075","56753160","10/5/2025 12:08:55 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t754.00-t783.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\008__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t754.00-t783.00.mp4"
"2025-09-20","008","TSC vs RVFC  BUILD UP PLAY SHOT","565","600","35","35.076","0.076","63709725","10/5/2025 12:09:04 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t565.00-t600.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\008__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t565.00-t600.00.mp4"
"2025-09-20","009","TSC vs RVFC  PRESSURE SHOT","604","620","16","16.109","0.109","32389259","10/5/2025 12:09:10 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t604.00-t620.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\009__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t604.00-t620.00.mp4"
"2025-09-20","009","TSC vs Greenwood  PRESSURE SHOT","802","818","16","16.075","0.075","26584994","10/5/2025 12:09:01 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t802.00-t818.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\009__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t802.00-t818.00.mp4"
"2025-09-20","010","TSC vs Greenwood  DEFENSE BUILD UP","821","848","27","27.175","0.175","54700516","10/5/2025 12:08:57 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t821.00-t848.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\010__2025-09-20__TSC_vs_Greenwood__DEFENSE_BUILD_UP__t821.00-t848.00.mp4"
"2025-09-20","010","TSC vs RVFC  PRESSURE SHOT","675","689","14","14.076","0.076","31757358","10/5/2025 12:09:06 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t675.00-t689.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\010__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t675.00-t689.00.mp4"
"2025-09-20","011","TSC vs Greenwood  GOAL","902","913","11","11.142","0.142","29228980","10/5/2025 12:08:59 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\011__2025-09-20__TSC_vs_Greenwood__GOAL__t902.00-t913.00.mp4"
"2025-09-20","011","TSC vs RVFC  PRESSURE SHOT","689","702","13","13.076","0.076","27107776","10/5/2025 12:09:07 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t689.00-t702.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\011__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t689.00-t702.00.mp4"
"2025-09-20","012","TSC vs RVFC  BUILD UP PLAY SHOT","746","757","11","11.075","0.075","29144305","10/5/2025 12:09:07 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t746.00-t757.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\012__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t746.00-t757.00.mp4"
"2025-09-20","012","TSC vs Greenwood  BUILD SHOT","973","987","14","14.108","0.108","35187359","10/5/2025 12:08:58 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\012__2025-09-20__TSC_vs_Greenwood__BUILD_SHOT__t973.00-t987.00.mp4"
"2025-09-20","013","TSC vs RVFC  BUILD UP PLAY SHOT","821","865","44","44.142","0.142","78859588","10/5/2025 12:09:06 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t821.00-t865.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\013__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t821.00-t865.00.mp4"
"2025-09-20","013","TSC vs Greenwood  PRESSURE SHOT","988","1001","13","13.075","0.075","35504351","10/5/2025 12:08:57 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\013__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00.mp4"
"2025-09-20","014","TSC vs RVFC  DEFENSE BUILD UP","880","897","17","17.142","0.142","36576892","10/5/2025 12:09:09 PM","out\atomic_clips\2025-09-20__TSC_vs_RVFC\014__2025-09-20__TSC_vs_RVFC__DEFENSE_BUILD_UP__t880.00-t897.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\014__2025-09-20__TSC_vs_RVFC__DEFENSE_BUILD_UP__t880.00-t897.00.mp4"
"2025-09-20","014","TSC vs Greenwood  PRESSURE SHOT","1063","1073","10","10.108","0.108","26936657","10/5/2025 12:09:00 PM","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\014__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1063.00-t1073.00.mp4"
