"action","src","dst","bytes","reason"
"move","out/atomic_clips/_quarantine/021__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1437.00-t1472.00.mp4","DUPES/out_atomic_clips__quarantine_021__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1437.00-t1472.00.mp4","67230740","duplicate_exact"
"move","out/atomic_clips/_quarantine/022__2025-09-20__TSC_vs_Greenwood__GOAL__t1578.00-t1586.00.mp4","DUPES/out_atomic_clips__quarantine_022__2025-09-20__TSC_vs_Greenwood__GOAL__t1578.00-t1586.00.mp4","25072710","duplicate_exact"
"move","out/atomic_clips/_quarantine/023__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1711.00-t1722.00.mp4","DUPES/out_atomic_clips__quarantine_023__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1711.00-t1722.00.mp4","25309927","duplicate_exact"
"move","out/atomic_clips/_quarantine/024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00.mp4","DUPES/out_atomic_clips__quarantine_024__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1871.00-t1881.00.mp4","22838509","duplicate_exact"
"move","out/atomic_clips/_quarantine/025__2025-09-20__TSC_vs_Greenwood__GOAL__t1885.00-t1895.00.mp4","DUPES/out_atomic_clips__quarantine_025__2025-09-20__TSC_vs_Greenwood__GOAL__t1885.00-t1895.00.mp4","20141596","duplicate_exact"
"move","out/atomic_clips/_quarantine/026__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1951.00-t1962.00.mp4","DUPES/out_atomic_clips__quarantine_026__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t1951.00-t1962.00.mp4","17863617","duplicate_exact"
"move","out/atomic_clips/_quarantine/027__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2040.00-t2058.00.mp4","DUPES/out_atomic_clips__quarantine_027__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2040.00-t2058.00.mp4","38331425","duplicate_exact"
"move","out/atomic_clips/_quarantine/028__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2092.00-t2105.00.mp4","DUPES/out_atomic_clips__quarantine_028__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2092.00-t2105.00.mp4","20763537","duplicate_exact"
"move","out/atomic_clips/_quarantine/029__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2134.00-t2152.00.mp4","DUPES/out_atomic_clips__quarantine_029__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2134.00-t2152.00.mp4","34550871","duplicate_exact"
"move","out/atomic_clips/_quarantine/030__2025-09-20__TSC_vs_Greenwood__FREE_KICK_WON_GOAL__t2175.00-t2211.00.mp4","DUPES/out_atomic_clips__quarantine_030__2025-09-20__TSC_vs_Greenwood__FREE_KICK_WON_GOAL__t2175.00-t2211.00.mp4","71768727","duplicate_exact"
"move","out/atomic_clips/_quarantine/031__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2245.00-t2266.00.mp4","DUPES/out_atomic_clips__quarantine_031__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2245.00-t2266.00.mp4","41169205","duplicate_exact"
"move","out/atomic_clips/_quarantine/032__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2544.00-t2561.00.mp4","DUPES/out_atomic_clips__quarantine_032__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2544.00-t2561.00.mp4","42804890","duplicate_exact"
"move","out/atomic_clips/_quarantine/033__2025-09-20__TSC_vs_Greenwood__GOAL__t2562.00-t2582.00.mp4","DUPES/out_atomic_clips__quarantine_033__2025-09-20__TSC_vs_Greenwood__GOAL__t2562.00-t2582.00.mp4","43281718","duplicate_exact"
"move","out/atomic_clips/_quarantine/034__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2646.00-t2665.00.mp4","DUPES/out_atomic_clips__quarantine_034__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2646.00-t2665.00.mp4","37889400","duplicate_exact"
"move","out/atomic_clips/_quarantine/035__2025-09-20__TSC_vs_Greenwood__CORNER__t2687.00-t2701.00.mp4","DUPES/out_atomic_clips__quarantine_035__2025-09-20__TSC_vs_Greenwood__CORNER__t2687.00-t2701.00.mp4","32668988","duplicate_exact"
"move","out/atomic_clips/_quarantine/036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00.mp4","DUPES/out_atomic_clips__quarantine_036__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t2705.00-t2715.00.mp4","22497201","duplicate_exact"
"move","out/atomic_clips/_quarantine/037__2025-09-20__TSC_vs_Greenwood__PRESSURE_GOAL__t2729.00-t2749.00.mp4","DUPES/out_atomic_clips__quarantine_037__2025-09-20__TSC_vs_Greenwood__PRESSURE_GOAL__t2729.00-t2749.00.mp4","46859994","duplicate_exact"
