"NormKey","GroupCount","IsKeeper","IsFinal","HasDebug","LengthMB","LastWriteTime","FullName"
"040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","True","True","False","15.21","1/17/2026 12:33:43 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","1.31","1/17/2026 12:39:08 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","3","False","True","False","0.95","1/17/2026 12:39:44 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\040__2025-09-20__TSC_vs_RVFC__BUILD_UP_PLAY_SHOT__t2571.00-t2599.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","True","True","False","6.26","1/17/2026 12:41:28 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","False","True","False","0.61","1/17/2026 12:44:58 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\041__2025-09-20__TSC_vs_RVFC__CORNER__t2712.00-t2722.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","True","True","False","10.55","1/17/2026 12:48:05 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","False","True","False","0.73","1/17/2026 12:53:50 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\042__2025-09-20__TSC_vs_RVFC__CORNER__t2765.00-t2783.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","True","True","False","10.26","1/17/2026 12:56:10 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","False","True","False","0.73","1/17/2026 1:01:50 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\043__2025-09-20__TSC_vs_RVFC__GOAL__t3010.00-t3028.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","True","True","False","8.45","1/17/2026 1:05:15 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
"044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00_portrait_POST.__CINEMATIC__SEGMENT_SMOOTH","2","False","True","False","0.6","1/17/2026 1:08:45 AM","C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\044__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC__SEGMENT_SMOOTH_portrait_FINAL.mp4"
