Original YOLO detections: 171 entries
Frame | cx | cy | conf
  f498: cx=397.57 (20.7%), cy=577.7, conf=0.3412
  f499: cx=344.93 (18.0%), cy=565.27, conf=0.3635
  f500: cx=271.99 (14.2%), cy=545.52, conf=0.4237
  f501: cx=216.37 (11.3%), cy=530.44, conf=0.469
  f502: cx=179.82 (9.4%), cy=520.51, conf=0.5125
  f505: cx=163.75 (8.5%), cy=515.98, conf=0.5155
  f506: cx=155.78 (8.1%), cy=513.82, conf=0.5178
  f507: cx=153.51 (8.0%), cy=513.37, conf=0.5019
  f508: cx=155.86 (8.1%), cy=514.73, conf=0.5234
  f509: cx=161.65 (8.4%), cy=517.34, conf=0.45
  f512: cx=179.19 (9.3%), cy=517.44, conf=0.5027
  f513: cx=200.1 (10.4%), cy=513.21, conf=0.4738
  f514: cx=224.32 (11.7%), cy=507.0, conf=0.4208
  f515: cx=250.58 (13.1%), cy=500.08, conf=0.4786
  f516: cx=273.19 (14.2%), cy=494.01, conf=0.521
  f517: cx=294.87 (15.4%), cy=488.72, conf=0.4772
  f518: cx=319.91 (16.7%), cy=483.35, conf=0.4536
  f520: cx=356.63 (18.6%), cy=476.87, conf=0.3932
  f521: cx=387.81 (20.2%), cy=471.72, conf=0.349

Original ball.jsonl: 546 entries
Frames 250-546 (ball exit/re-entry zone):
  f250: cx=1035 (53.9%)
  f255: cx=1039 (54.1%)
  f260: cx=1049 (54.6%)
  f265: cx=1063 (55.4%)
  f270: cx=1079 (56.2%)
  f275: cx=1096 (57.1%)
  f280: cx=1116 (58.1%)
  f285: cx=1142 (59.5%)
  f290: cx=1174 (61.1%)
  f295: cx=1212 (63.1%)
  f300: cx=1257 (65.5%)
  f305: cx=1310 (68.2%)
  f310: cx=1371 (71.4%)
  f315: cx=1436 (74.8%)
  f320: cx=1498 (78.0%)
  f325: cx=1548 (80.6%)
  f330: cx=1580 (82.3%)
  f335: cx=1586 (82.6%)
  f340: cx=1566 (81.5%)
  f345: cx=1522 (79.2%)
  f350: cx=1461 (76.1%)
  f355: cx=1390 (72.4%)
  f360: cx=1315 (68.5%)
  f365: cx=1241 (64.7%)
  f370: cx=1173 (61.1%)
  f375: cx=1111 (57.9%)
  f380: cx=1053 (54.8%)
  f385: cx=996 (51.9%)
  f390: cx=939 (48.9%)
  f395: cx=883 (46.0%)
  f400: cx=826 (43.0%)
  f405: cx=770 (40.1%)
  f410: cx=710 (37.0%)
  f415: cx=646 (33.7%)
  f420: cx=577 (30.1%)
  f425: cx=504 (26.2%)
  f430: cx=429 (22.3%)
  f435: cx=356 (18.6%)
  f440: cx=291 (15.1%)
  f445: cx=236 (12.3%)
  f450: cx=195 (10.1%)
  f455: cx=167 (8.7%)
  f460: cx=154 (8.0%)
  f465: cx=151 (7.9%)
  f470: cx=157 (8.2%)
  f475: cx=170 (8.9%)
  f480: cx=188 (9.8%)
  f485: cx=211 (11.0%)
  f490: cx=239 (12.4%)
  f495: cx=270 (14.1%)
  f500: cx=305 (15.9%)
  f505: cx=342 (17.8%)
  f510: cx=383 (19.9%)
  f515: cx=428 (22.3%)
  f520: cx=476 (24.8%)
  f525: cx=522 (27.2%)
  f530: cx=563 (29.3%)
  f535: cx=596 (31.0%)
  f540: cx=621 (32.4%)
  f545: cx=641 (33.4%)

Current diagnostic (frames 300-540, every 5 frames):
  f300: ball=61.1% cam=61.1% in_crop=1
  f305: ball=65.5% cam=65.5% in_crop=1
  f310: ball=69.9% cam=69.8% in_crop=1
  f315: ball=73.3% cam=73.1% in_crop=1
  f320: ball=74.7% cam=74.6% in_crop=1
  f325: ball=74.8% cam=74.8% in_crop=1
  f330: ball=74.2% cam=74.2% in_crop=1
  f335: ball=73.4% cam=73.4% in_crop=1
  f340: ball=72.4% cam=72.4% in_crop=1
  f345: ball=71.1% cam=71.0% in_crop=1
  f350: ball=69.2% cam=69.1% in_crop=1
  f355: ball=66.5% cam=66.4% in_crop=1
  f360: ball=62.4% cam=62.0% in_crop=1
  f365: ball=55.4% cam=55.3% in_crop=1
  f370: ball=47.9% cam=47.9% in_crop=1
  f375: ball=41.3% cam=41.4% in_crop=1
  f380: ball=36.8% cam=36.9% in_crop=1
  f385: ball=33.9% cam=34.0% in_crop=1
  f390: ball=32.9% cam=33.8% in_crop=1
  f395: ball=36.9% cam=36.6% in_crop=1
  f400: ball=35.0% cam=35.0% in_crop=1
  f405: ball=32.7% cam=32.7% in_crop=1
  f410: ball=30.7% cam=30.7% in_crop=1
  f415: ball=29.2% cam=29.2% in_crop=1
  f420: ball=26.9% cam=28.1% in_crop=1
  f425: ball=27.9% cam=28.0% in_crop=1
  f430: ball=28.8% cam=28.8% in_crop=1
  f435: ball=29.9% cam=29.9% in_crop=1
  f440: ball=31.2% cam=31.1% in_crop=1
  f445: ball=32.2% cam=32.2% in_crop=1
  f450: ball=33.6% cam=33.5% in_crop=1
  f455: ball=34.5% cam=34.4% in_crop=1
  f460: ball=35.1% cam=34.9% in_crop=1
  f465: ball=30.6% cam=30.3% in_crop=1
  f470: ball=19.8% cam=20.1% in_crop=1
  f475: ball=12.7% cam=17.1% in_crop=1
  f480: ball=9.4% cam=17.1% in_crop=1
  f485: ball=13.2% cam=17.1% in_crop=1
  f490: ball=15.7% cam=17.1% in_crop=1
  f495: ball=18.4% cam=18.4% in_crop=1
  f500: ball=20.5% cam=20.4% in_crop=1
  f505: ball=21.7% cam=21.6% in_crop=1
  f510: ball=22.2% cam=22.0% in_crop=1
  f515: ball=17.3% cam=19.5% in_crop=1
  f520: ball=14.7% cam=17.1% in_crop=1
  f525: ball=11.5% cam=17.1% in_crop=1
  f530: ball=8.5% cam=17.1% in_crop=1
  f535: ball=5.7% cam=17.1% in_crop=1
  f540: ball=3.6% cam=17.1% in_crop=1
