start,end,type,source,score,team,reason,event_id
2870.88,2890.88,SHOT,highlights_shots,96.195,us,shots_csv action=1.547 ball_speed=76.4 team_presence=0.051,shot_0096
2888.0,2908.0,SHOT,highlights_shots,98.743,us,shots_csv action=1.568 ball_speed=123.9 team_presence=0.033,shot_0065
2913.13,2933.13,SHOT,highlights_shots,96.901,us,shots_csv action=1.561 ball_speed=88.3 team_presence=0.026,shot_0082
2915.63,2933.63,DEF_ACTION,highlights_filtered,69.247,unknown,filtered def action=1.557 speed=88.3,def_action_0138
2974.27,2994.27,SHOT,highlights_shots,90.51,us,shots_csv action=0.912 ball_speed=64.3 team_presence=0.118,shot_0119
2989.77,3009.77,SHOT,highlights_shots,96.888,us,shots_csv action=1.559 ball_speed=88.4 team_presence=0.029,shot_0086
2992.27,3010.27,DEF_ACTION,highlights_filtered,70.657,unknown,filtered def action=1.554 speed=88.4,def_action_0140
3006.28,3026.28,SHOT,highlights_shots,97.731,us,shots_csv action=1.559 ball_speed=105.2 team_presence=0.032,shot_0084
3020.4,3040.4,SAVE_OUR_GK,highlights_filtered,92.535,us,filtered save action=1.530 speed=149.4,save_our_gk_0156
3032.03,3052.03,SHOT,highlights_shots,96.713,us,shots_csv action=1.559 ball_speed=84.9 team_presence=0.033,shot_0085
3043.91,3064.91,OFF_BUILDUP,highlights_build,67.639,unknown,build_csv action=1.582 ball_speed=104.9,off_buildup_0200
3044.91,3064.91,SHOT,highlights_shots,97.883,us,shots_csv action=1.580 ball_speed=104.9 team_presence=0.044,shot_0041
3051.66,3071.66,SHOT,highlights_shots,99.217,opp,shots_csv action=1.571 ball_speed=133.0 team_presence=0.023,shot_0060
3054.16,3072.16,DEF_ACTION,highlights_filtered,71.152,unknown,filtered def action=1.567 speed=133.0,def_action_0130
3061.28,3079.28,DEF_ACTION,highlights_filtered,69.217,unknown,filtered def action=1.535 speed=87.6,def_action_0152
3073.87,3085.87,GOAL,goal_resets,110.0,us,goal_resets score=1.000; goal_resets score=0.994; goal_resets score=1.000,goal_0013
3081.21,3093.21,GOAL,goal_resets,110.0,us,goal_resets score=1.000,goal_0014
3091.54,3112.54,OFF_BUILDUP,highlights_build,67.651,unknown,build_csv action=1.581 ball_speed=105.4,off_buildup_0202
3092.54,3112.54,SHOT,highlights_shots,97.907,us,shots_csv action=1.579 ball_speed=105.4 team_presence=0.038,shot_0044
3107.54,3124.88,OFF_BUILDUP,highlights_build,69.505,unknown,build_csv action=1.588 ball_speed=165.8,off_buildup_0190
3108.54,3124.88,SHOT,highlights_shots,100.978,us,shots_csv action=1.586 ball_speed=165.8 team_presence=0.052,shot_0029
