start,end
2653.6,2655.210666666667
2657.077333333333,2662.922666666667
2667.2213333333334,2669.472
2674.912,2676.992
2689.952,2691.52
2759.733333333333,2761.312
2763.3813333333333,2764.6293333333333
2766.656,2768.789333333333
2768.992,2771.456
2775.594666666667,2777.28
2777.728,2779.424
2784.9386666666664,2786.2826666666665
2789.6213333333335,2792.8746666666666
2809.0346666666665,2810.9546666666665
2811.594666666667,2814.88
2816.9493333333335,2818.464
2821.568,2823.456
2824.2453333333333,2825.674666666667
2830.922666666667,2833.4293333333335
2857.568,2858.9653333333335
2863.1786666666667,2864.4693333333335
2868.544,2870.816
2871.9466666666667,2873.7386666666666
2879.872,2881.1413333333335
2886.9866666666667,2889.1306666666665
2889.3013333333333,2890.9546666666665
2892.0426666666667,2902.272
2904.3413333333333,2909.3973333333333
2921.5146666666665,2923.4666666666667
2992.3733333333334,2993.578666666667
3003.968,3005.8133333333335
3006.72,3009.0453333333335
3016.2986666666666,3028.768
3029.184,3035.488
3051.3173333333334,3068.0853333333334
3081.344,3085.4933333333333
3096.4693333333335,3098.048
3105.0666666666666,3121.8773333333334
