start,end,type,score,team,source,reason,event_ids,all_types
2170.38,2182.38,GOAL,110.0,us,goal_resets,goal_resets score=1.000,goal_0006,GOAL
2189.76,2210.76,SHOT,98.216,us,highlights_build;highlights_shots,build_csv action=1.589 ball_speed=110.8; shots_csv action=1.584 ball_speed=110.8 team_presence=0.090,"off_buildup_0189,shot_0033",OFF_BUILDUP;SHOT
2217.01,2311.9,SHOT,102.196,mixed,highlights_shots;highlights_filtered;highlights_build,shots_csv action=1.487 ball_speed=105.7 team_presence=0.045; filtered save action=1.544 speed=129.9; shots_csv action=1.574 ball_speed=140.1 team_presence=0.023; filtered save action=1.570 speed=140.1; build_csv action=1.581 ball_speed=152.5; shots_csv action=1.579 ball_speed=152.5 team_presence=0.025; filtered def action=1.575 speed=152.5; build_csv action=1.592 ball_speed=189.6; shots_csv action=1.589 ball_speed=189.6 team_presence=0.065; build_csv action=1.587 ball_speed=159.4; shots_csv action=1.585 ball_speed=159.4 team_presence=0.056; build_csv action=1.582 ball_speed=82.0; shots_csv action=1.580 ball_speed=82.0 team_presence=0.037,"def_action_0124,off_buildup_0186,off_buildup_0193,off_buildup_0199,off_buildup_0204,save_our_gk_0129,save_our_gk_0147,shot_0026,shot_0032,shot_0039,shot_0043,shot_0056,shot_0101",DEF_ACTION;OFF_BUILDUP;SAVE_OUR_GK;SHOT
2313.74,2352.53,GOAL,110.0,us,goal_resets;highlights_build;highlights_shots,goal_resets score=0.983; goal_resets score=1.000; build_csv action=1.587 ball_speed=117.2; shots_csv action=1.583 ball_speed=117.2 team_presence=0.071,"goal_0007,goal_0008,off_buildup_0194,shot_0034",GOAL;OFF_BUILDUP;SHOT
2353.08,2397.75,GOAL,110.0,us,goal_resets;highlights_shots,goal_resets score=1.000; shots_csv action=1.484 ball_speed=77.6 team_presence=0.049; shots_csv action=0.903 ball_speed=50.1 team_presence=0.050; goal_resets score=1.000; goal_resets score=1.000,"goal_0009,goal_0010,shot_0102,shot_0120",GOAL;SHOT
2405.42,2438.67,SHOT,98.672,us,highlights_build;highlights_shots,build_csv action=1.595 ball_speed=118.6; shots_csv action=1.593 ball_speed=118.6 team_presence=0.051; shots_csv action=1.573 ball_speed=48.7 team_presence=0.070,"off_buildup_0185,shot_0024,shot_0057",OFF_BUILDUP;SHOT
2587.08,2611.79,GOAL,110.0,us,highlights_filtered;goal_resets,filtered def action=1.464 speed=73.9; goal_resets score=0.974; goal_resets score=1.000,"def_action_0170,goal_0011",DEF_ACTION;GOAL
2621.13,2633.13,GOAL,109.85,us,goal_resets,goal_resets score=0.985,goal_0012,GOAL
2644.96,2684.72,SHOT,99.389,us,highlights_shots;highlights_build,shots_csv action=1.514 ball_speed=108.2 team_presence=0.045; build_csv action=1.583 ball_speed=134.9; shots_csv action=1.581 ball_speed=134.9 team_presence=0.040,"off_buildup_0198,shot_0038,shot_0098",OFF_BUILDUP;SHOT
2741.98,2761.98,SHOT,96.848,us,highlights_shots,shots_csv action=1.563 ball_speed=86.8 team_presence=0.043,shot_0076,SHOT
2822.12,2855.75,SHOT,98.323,us,highlights_shots;highlights_filtered,shots_csv action=1.555 ball_speed=117.6 team_presence=0.028; filtered def action=1.551 speed=117.6; shots_csv action=1.575 ball_speed=79.0 team_presence=0.029; filtered def action=1.570 speed=79.0; shots_csv action=1.563 ball_speed=111.9 team_presence=0.029; filtered def action=1.558 speed=111.9,"def_action_0127,def_action_0137,def_action_0144,shot_0052,shot_0079,shot_0090",DEF_ACTION;SHOT
2861.0,2908.0,SHOT,98.743,mixed,highlights_shots;highlights_filtered,shots_csv action=1.556 ball_speed=86.0 team_presence=0.023; filtered def action=1.553 speed=86.0; shots_csv action=1.547 ball_speed=76.4 team_presence=0.051; shots_csv action=1.568 ball_speed=123.9 team_presence=0.033,"def_action_0141,shot_0065,shot_0089,shot_0096",DEF_ACTION;SHOT
2913.13,2933.63,SHOT,96.901,us,highlights_shots;highlights_filtered,shots_csv action=1.561 ball_speed=88.3 team_presence=0.026; filtered def action=1.557 speed=88.3,"def_action_0138,shot_0082",DEF_ACTION;SHOT
2974.27,3124.88,GOAL,110.0,mixed,highlights_shots;highlights_filtered;highlights_build;goal_resets,shots_csv action=0.912 ball_speed=64.3 team_presence=0.118; shots_csv action=1.559 ball_speed=88.4 team_presence=0.029; filtered def action=1.554 speed=88.4; shots_csv action=1.559 ball_speed=105.2 team_presence=0.032; filtered save action=1.530 speed=149.4; shots_csv action=1.559 ball_speed=84.9 team_presence=0.033; build_csv action=1.582 ball_speed=104.9; shots_csv action=1.580 ball_speed=104.9 team_presence=0.044; shots_csv action=1.571 ball_speed=133.0 team_presence=0.023; filtered def action=1.567 speed=133.0; filtered def action=1.535 speed=87.6; goal_resets score=1.000; goal_resets score=0.994; goal_resets score=1.000; goal_resets score=1.000; build_csv action=1.581 ball_speed=105.4; shots_csv action=1.579 ball_speed=105.4 team_presence=0.038; build_csv action=1.588 ball_speed=165.8; shots_csv action=1.586 ball_speed=165.8 team_presence=0.052,"def_action_0130,def_action_0140,def_action_0152,goal_0013,goal_0014,off_buildup_0190,off_buildup_0200,off_buildup_0202,save_our_gk_0156,shot_0029,shot_0041,shot_0044,shot_0060,shot_0084,shot_0085,shot_0086,shot_0119",DEF_ACTION;GOAL;OFF_BUILDUP;SAVE_OUR_GK;SHOT
