"PlanIndex","RelativePath","FullPath","Action","Target","Reason","BytesSaved","LastWriteTime","PlanRoot"
"20","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.mp4","Not covered by keep rules","23014341","10/30/2025 3:14:01 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"21","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__thumb.jpg","Not covered by keep rules","464194","9/26/2025 6:42:44 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"22","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__2025-09-13__TSC_vs_NEOFC__GOAL__t1705.20-t1708.50_portrait_POST.mp4","Not covered by keep rules","5245912","10/30/2025 3:08:38 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"23","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\012__thumb.jpg","Not covered by keep rules","445263","9/26/2025 6:42:46 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"24","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.mp4","Not covered by keep rules","7208841","10/30/2025 3:07:29 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"25","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__thumb.jpg","Not covered by keep rules","385811","9/26/2025 6:42:47 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"26","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.mp4","Not covered by keep rules","34452008","10/30/2025 3:06:21 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"27","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__thumb.jpg","Not covered by keep rules","462020","9/26/2025 6:42:52 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"28","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.mp4","Not covered by keep rules","15667717","10/30/2025 3:11:32 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"29","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__thumb.jpg","Not covered by keep rules","476878","9/26/2025 6:42:55 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"30","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.mp4","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.mp4","Not covered by keep rules","17000438","10/30/2025 3:01:00 PM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
"31","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__thumb.jpg","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__thumb.jpg","Quarantine","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\_quarantine\C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__thumb.jpg","Not covered by keep rules","447643","9/26/2025 6:42:58 AM","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-13__TSC_vs_NEOFC"
