"FullName","Relative","SizeBytes","LastWriteTime","InLikelyArtifactDir"
"C:\Users\scott\soccer-video\out\clips\047__PASSES__t1569.15-t1580.15.mp4","out\clips\047__PASSES__t1569.15-t1580.15.mp4","20832681","9/19/2025 3:43:12 PM","True"
"C:\Users\scott\soccer-video\out\clips\005__PASSES__t218.78-t232.78.mp4","out\clips\005__PASSES__t218.78-t232.78.mp4","20755713","9/19/2025 3:40:07 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\017__SHOT__t2284.90-t2298.20__BASE__landscape.mp4","out\reels\landscape\017__SHOT__t2284.90-t2298.20__BASE__landscape.mp4","20659105","9/23/2025 10:55:53 AM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\009__GOAL__t1420.40-t1438.20__BASE__landscape.mp4","out\reels\landscape\009__GOAL__t1420.40-t1438.20__BASE__landscape.mp4","20635801","9/23/2025 10:54:46 AM","True"
"C:\Users\scott\soccer-video\out\clips\016__PASSES_SHOT__t623.61-t641.36.mp4","out\clips\016__PASSES_SHOT__t623.61-t641.36.mp4","20617548","9/19/2025 3:40:55 PM","True"
"C:\Users\scott\soccer-video\out\clips\011__PASSES__t409.95-t423.95.mp4","out\clips\011__PASSES__t409.95-t423.95.mp4","20617545","9/19/2025 3:40:33 PM","True"
"C:\Users\scott\soccer-video\out\clips_dribbles_top10\clip_0004.mp4","out\clips_dribbles_top10\clip_0004.mp4","20608425","9/17/2025 1:15:10 PM","True"
"C:\Users\scott\soccer-video\out\clips_build_top10\clip_0004.mp4","out\clips_build_top10\clip_0004.mp4","20556979","9/17/2025 12:45:29 PM","True"
"C:\Users\scott\soccer-video\out\clips\084__GOAL_RESETS_PASSES__t2647.13-t2661.96.mp4","out\clips\084__GOAL_RESETS_PASSES__t2647.13-t2661.96.mp4","20553901","9/19/2025 3:45:55 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\005__GOAL__t417.90-t431.60__BASE__landscape.mp4","out\reels\landscape\005__GOAL__t417.90-t431.60__BASE__landscape.mp4","20315542","9/23/2025 10:54:11 AM","True"
"C:\Users\scott\soccer-video\out\clips\078__PASSES__t2498.38-t2512.38.mp4","out\clips\078__PASSES__t2498.38-t2512.38.mp4","20178681","9/19/2025 3:45:30 PM","True"
"C:\Users\scott\soccer-video\out\clips_top10\clip_0004.mp4","out\clips_top10\clip_0004.mp4","20000414","9/17/2025 2:49:32 PM","True"
"C:\Users\scott\soccer-video\out\clips\002__PASSES__t70.45-t84.45.mp4","out\clips\002__PASSES__t70.45-t84.45.mp4","19773036","9/19/2025 3:39:56 PM","True"
"C:\Users\scott\soccer-video\out\clips\014__PASSES__t559.04-t573.04.mp4","out\clips\014__PASSES__t559.04-t573.04.mp4","19719846","9/19/2025 3:40:46 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\020__GOAL__t2816.60-t2831.80__BASE__landscape.mp4","out\reels\landscape\020__GOAL__t2816.60-t2831.80__BASE__landscape.mp4","19387333","9/23/2025 10:56:12 AM","True"
"C:\Users\scott\soccer-video\out\clips\050__SHOT__t1674.54-t1688.54.mp4","out\clips\050__SHOT__t1674.54-t1688.54.mp4","19315657","9/19/2025 3:43:22 PM","True"
"C:\Users\scott\soccer-video\out\clips\011__GOAL__t2559.29-t2573.29.mp4","out\clips\011__GOAL__t2559.29-t2573.29.mp4","19292414","9/22/2025 4:54:04 PM","True"
"C:\Users\scott\soccer-video\out\reels\landscape\011__GOAL__t2559.29-t2573.29__BASE__landscape.mp4","out\reels\landscape\011__GOAL__t2559.29-t2573.29__BASE__landscape.mp4","19292414","9/22/2025 4:54:11 PM","True"
