"Hash","KeepRel","RelativePath","FullPath","SizeBytes","Reason"
"AF504650ECC77985ED7D5AE77F1ED2AB97528E8E6C2F7CB72AA6535D88B9898F","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_previews_013__SHOT__t1767.50-t1772.60_preview.mp4","out\portrait_reels\previews\013__GOAL__t1767.50-t1772.60_preview.mp4","C:\Users\scott\soccer-video\out\portrait_reels\previews\013__GOAL__t1767.50-t1772.60_preview.mp4","81654714","keep-other"
"8C01988398C267AF29872405DB974F3883B18CC9B422E6F62D01B58B403B87ED","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_no_brand_previews_DJI_20251001_195823_805_video_preview.mp4","out\portrait_reels\previews\DJI_20251001_195823_805_video_preview.mp4","C:\Users\scott\soccer-video\out\portrait_reels\previews\DJI_20251001_195823_805_video_preview.mp4","54126665","keep-other"
"E37A98599DAD985153206788761184B087E7DF4F2047BB9073F16C97C50431D8","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_reels_012__SHOT__t1705.20-t1708.50_portrait.mp4","out\portrait_reels\reels\012__GOAL__t1705.20-t1708.50_portrait.mp4","C:\Users\scott\soccer-video\out\portrait_reels\reels\012__GOAL__t1705.20-t1708.50_portrait.mp4","10450138","keep-other"
"3E5F63BAFC280AB6A9B0BE9CCCB3623A79CB525ACCB436816021E111CD1CF27D","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_reels_013__SHOT__t1767.50-t1772.60_portrait.mp4","out\portrait_reels\reels\013__GOAL__t1767.50-t1772.60_portrait.mp4","C:\Users\scott\soccer-video\out\portrait_reels\reels\013__GOAL__t1767.50-t1772.60_portrait.mp4","7967093","keep-other"
"EC1EE845CA6FF5BA4B47899BC8174E3F6399B55700F88516BF9CD945931C36CD","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_strongfollow_final_DJI_20251001_195823_805_video%201_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect\final\DJI_20251001_195823_805_video%201_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect\final\DJI_20251001_195823_805_video 1_portrait_1080x1920_CENTER.mp4","11204372","keep-other"
"2AFE2767B1F3708383FB1CFCB669D3998A317CDFD54712A9BB83243002269F57","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_strongfollow_final_DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect\final\DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect\final\DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","19202575","keep-other"
"93F9CC6D784B978FEB40F7982136FD4EF458922BF0E7F184F6341C6A67620E05","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_strongfollow_final_DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect\final\DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect\final\DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","13505163","keep-other"
"AE3811B40F4FCF51A889A03E01AE8EB38B62DED57DEFCA542007EF1BE2914089","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_REMAP_final_DJI_20251001_195823_805_video%201_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_195823_805_video%201_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_195823_805_video 1_portrait_1080x1920_CENTER.mp4","11238372","keep-other"
"9BD6CDA893B62800DABA5BABFE7E74A575663CDA9217FCE1B044ECC3F1F72305","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_REMAP_final_DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_195823_805_video_portrait_1080x1920_CENTER.mp4","19350935","keep-other"
"BBDF7D1D1D501FBC8CEA745FCED536727E094B8FA038118E6BBC674D4A412FDA","out\_TRASH_2025-10-07_121924\DUPES\out_portrait_reels_multiselect_REMAP_final_DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","C:\Users\scott\soccer-video\out\portrait_reels_multiselect_LOCKED2\final\DJI_20251001_203314_740_video_portrait_1080x1920_CENTER.mp4","13701376","keep-other"
"CFBC866FF610040C6CAC7488285B154650493A9285AE5EE432E30DB333F001DA","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10_CLEAN.mp4","out\reels\tiktok\004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail.mp4","C:\Users\scott\soccer-video\out\reels\tiktok\004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail.mp4","9197793","keep-other"
"CFBC866FF610040C6CAC7488285B154650493A9285AE5EE432E30DB333F001DA","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_AFTER10_CLEAN.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_SLOW.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__BALL_LOCK_SLOW.mp4","9197793","keep-other"
"C93FA794116E3BE27330B54D144BA40B92812EAA222DB3C3613A5ACF5A832D03","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__slow10s.mp4","out\reels\tiktok\004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__fixed.mp4","C:\Users\scott\soccer-video\out\reels\tiktok\004__directed_SINGLECHAIN_ballBias_receiveEarly_crossDwell_tail__fixed.mp4","9439429","keep-other"
"D8837C087512BE367D22064B44E841915562D6CE92D86816856EAACBAB8C6E55","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_receiveEarly_crossDwell_tail.mp4","out\reels\tiktok\004__directed_SINGLECHAIN_constWH_crossDwell_lockScorer.mp4","C:\Users\scott\soccer-video\out\reels\tiktok\004__directed_SINGLECHAIN_constWH_crossDwell_lockScorer.mp4","10601707","keep-other"
"D8837C087512BE367D22064B44E841915562D6CE92D86816856EAACBAB8C6E55","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_receiveEarly_crossDwell_tail.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_moreDribble.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_moreDribble.mp4","10601707","keep-other"
"D8837C087512BE367D22064B44E841915562D6CE92D86816856EAACBAB8C6E55","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_receiveEarly_crossDwell_tail.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_moreDribbleCrossCele.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_004__directed_SINGLECHAIN_moreDribbleCrossCele.mp4","10601707","keep-other"
"9A3B7186A44C0EA68ABA338E6958DDEBE373799F55F0205AD4BB21662DEBC0E6","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_012__SHOT__t1705.20-t1708.50__BALLTRACK.mp4","out\reels\tiktok\012__GOAL__t1705.20-t1708.50__BALLTRACK.mp4","C:\Users\scott\soccer-video\out\reels\tiktok\012__GOAL__t1705.20-t1708.50__BALLTRACK.mp4","5043660","keep-other"
"41417020C39D5063AF270F217D8E4C909043F7F893CE0C665F909F3CD86312D0","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_013__SHOT__t1767.50-t1772.60__BALLTRACK.mp4","out\reels\tiktok\013__GOAL__t1767.50-t1772.60__BALLTRACK.mp4","C:\Users\scott\soccer-video\out\reels\tiktok\013__GOAL__t1767.50-t1772.60__BALLTRACK.mp4","4138842","keep-other"
"E1153DDBEB10285BAB02478F4200D87D0A52433E349BF85849C987DAE9A89C83","out\reels\tiktok\COMPARE__004__phase_director.mp4","out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_COMPARE__004__wider_lane.mp4","C:\Users\scott\soccer-video\out\_TRASH_2025-10-07_121924\DUPES\out_reels_tiktok_COMPARE__004__wider_lane.mp4","7248096","keep-other"
"159CFCD4B424DE90FD1EDD8A29E4E9F973F762C96391258B9188D760D768E281","out\_TRASH_2025-10-07_121924\DUPES\out_yolo_ball_track_bytex_conf015_022__SHOT__t3028.10-t3059.70.avi","out\yolo\ball_track\022__SHOT__t3028.10-t3059.70.avi","C:\Users\scott\soccer-video\out\yolo\ball_track\022__SHOT__t3028.10-t3059.70.avi","164086868","keep-other"
