"base","in_path","bytes","out_exists","out_count","out_sample","telemetry_present","ball_jsonl","red_ball_jsonl","folder"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4","866337","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.mp4","142712638","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.mp4","49735975","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.mp4","49735975","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.mp4","32846812","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.mp4","28116408","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","28116408","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","28218464","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","28218464","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","23786628","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","16346471","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","16346471","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","5686055","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","5686055","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine"
"001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC\001__2025-09-20__TSC_vs_RVFC__SHOT__t7320.00-t7860.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4","3963294","False","0","","False","False","False","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_RVFC"
