clip_path,portrait_path,render_done_at,render_preset,upscaled_path,upscale_done_at,branded_path,follow_brand_done_at,last_error,last_run_at
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__GOAL__t266.50-t283.10.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:13+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\005__2025-09-13__TSC_vs_NEOFC__CORNER__t417.90-t431.60.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:22+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\006__2025-09-13__TSC_vs_NEOFC__DEFENSE__t699.30-t711.50.__DEBUG_FINAL_portrait_FINAL.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:31+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\007__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t982.00-t987.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:36+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:42+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:54+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:40:59+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\011__2025-09-13__TSC_vs_NEOFC__SHOTS__t1655.00-t1670.30_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:09+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\013__2025-09-13__TSC_vs_NEOFC__GOAL__t1767.50-t1772.60_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:15+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\014__2025-09-13__TSC_vs_NEOFC__GOAL__t1904.20-t1925.20_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:31+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\015__2025-09-13__TSC_vs_NEOFC__DRIBBLING__t1972.50-t1980.70_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:40+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\016__2025-09-13__TSC_vs_NEOFC__SHOT__t2029.90-t2039.50_portrait_POST.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,,,,,render failed,2026-02-11T22:41:49+00:00
