"master_path","clip_name","label","t_start_s","t_end_s","source_path"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4","TSC_vs_Greenwood__GOAL","20400","21180","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\002__2025-09-20__TSC_vs_Greenwood__GOAL__t20400.00-t21180.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","25260","26460","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","421","441","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4","TSC_vs_Greenwood__PRESSURE_TWO_SHOTS","26640","27360","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00_portrait_POST.mp4","TSC_vs_Greenwood__PRESSURE_TWO_SHOTS","444","456","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4","TSC_vs_Greenwood__WIN_FREE_KICK","32280","33180","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00_portrait_POST.mp4","TSC_vs_Greenwood__WIN_FREE_KICK","538","553","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","41100","42480","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_Greenwood/MASTER.mp4","006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00_portrait_POST.mp4","TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT","685","708","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00_portrait_POST.mp4"
"C:/Users/scott/soccer-video/out/games/2025-09-20__TSC_vs_RVFC/MASTER.mp4","007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00.mp4","TSC_vs_Greenwood__DRIBBLING_SHOT","44340","45120","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00.mp4"
