ClipID,MatchKey,AtomicPath,PortraitPaths,DurationSeconds,Width,Height
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC,2025-11-04__TSC_-_Navy_Oct_2025,C:\Users\scott\soccer-video\out\atomic_clips\2025-11-04__TSC_-_Navy_Oct_2025\001__Pressure & Build Up with a Great Cross__0_06_37-0_07_10.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t135.00-t145.00,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.mp4,,,,
001__SHOT__t135.00-t145.00.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.mp4,,,,
001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.mp4,,,,
001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC,misc,C:\Users\scott\soccer-video\out\atomic_clips\misc\001__SHOT__t135.00-t145.00.__CINEMATIC.__CINEMATIC.__CINEMATIC.mp4,,,,
