"index","date","status","atomic","master"
"45","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\045__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\045__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"44","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\044__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\044__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"160","2025-10-07","HAVE",,
"121","2025-10-04","HAVE",,
"186","2025-09-20","HAVE",,
"3","2025-10-04","HAVE",,
"50","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\050__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\050__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"24","2025-09-13","HAVE",,
"177","2025-10-07","HAVE",,
"29","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\029__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\029__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"17","2025-09-13","HAVE",,
"214","2025-09-20","HAVE",,
"199","2025-09-20","HAVE",,
"200","2025-09-20","HAVE",,
"227","2025-09-20","HAVE",,
"107","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\107__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\107__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"2","2025-09-13","HAVE",,
"154","2025-09-20","HAVE",,
"127","2025-10-04","HAVE",,
"224","2025-09-20","HAVE",,
"27","2025-09-13","HAVE",,
"61","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\061__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\061__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"169","2025-09-20","HAVE",,
"197","2025-09-20","HAVE",,
"132","2025-10-07","HAVE",,
"215","2025-09-20","HAVE",,
"195","2025-09-20","HAVE",,
"101","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\101__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\101__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"179","2025-09-20","HAVE",,
"170","2025-09-20","HAVE",,
"139","2025-10-04","HAVE",,
"113","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\113__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\113__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"219","2025-09-20","HAVE",,
"187","2025-09-20","HAVE",,
"134","2025-09-20","HAVE",,
"71","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\071__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\071__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"155","2025-10-04","HAVE",,
"171","2025-10-07","HAVE",,
"18","2025-09-13","HAVE",,
"198","2025-09-20","HAVE",,
"32","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\032__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\032__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"143","2025-10-04","HAVE",,
"110","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\110__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\110__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"69","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\069__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\069__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"124","2025-10-04","HAVE",,
"203","2025-09-20","HAVE",,
"228","2025-09-20","HAVE",,
"55","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\055__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\055__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"90","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\090__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\090__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"184","2025-09-20","HAVE",,
"4","2025-09-13","HAVE",,
"49","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\049__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\049__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
"94","2025-09-20","MISSING",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\094__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\094__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\proxy.mp4"
