"Frame","TimeSec","Count","LatencyMs"
"86","3031.62031454784","1","34.2"
"87","3031.66173001311","1","39.8"
"88","3031.70314547837","1","33.8"
"89","3031.74456094364","1","33.4"
"90","3031.78597640891","1","32.8"
"91","3031.82739187418","1","34.9"
"92","3031.86880733945","1","31.4"
"93","3031.91022280472","1","33.2"
"94","3031.95163826999","1","37.8"
"95","3031.99305373526","1","39.9"
"96","3032.03446920052","1","37.3"
"97","3032.07588466579","1","34.3"
"98","3032.11730013106","1","33.6"
"99","3032.15871559633","1","34.5"
"100","3032.2001310616","1","34.7"
"101","3032.24154652687","1","31.8"
"102","3032.28296199214","1","35.5"
"103","3032.3243774574","1","32.6"
"104","3032.36579292267","1","32.9"
"105","3032.40720838794","1","33.8"
"106","3032.44862385321","1","33"
"107","3032.49003931848","1","33.9"
"108","3032.53145478375","1","32.4"
"109","3032.57287024902","1","33.8"
"110","3032.61428571429","1","33.2"
"111","3032.65570117955","1","32"
"112","3032.69711664482","1","33"
"113","3032.73853211009","1","33.2"
"114","3032.77994757536","1","35.5"
"115","3032.82136304063","1","34.2"
"116","3032.8627785059","1","32.6"
"117","3032.90419397117","1","31.3"
"118","3032.94560943644","1","33"
"119","3032.9870249017","1","34.9"
"120","3033.02844036697","1","33"
"121","3033.06985583224","1","34.8"
"122","3033.11127129751","1","32.2"
"123","3033.15268676278","1","31.9"
"124","3033.19410222805","1","37.5"
"125","3033.23551769332","1","38.4"
"126","3033.27693315858","1","39.2"
"127","3033.31834862385","1","32.3"
"128","3033.35976408912","1","33.8"
"129","3033.40117955439","1","34.2"
"130","3033.44259501966","1","33.4"
"131","3033.48401048493","1","34.1"
"132","3033.5254259502","1","59.7"
"133","3033.56684141547","1","37"
"134","3033.60825688073","1","33.2"
"135","3033.649672346","1","32.4"
"136","3033.69108781127","1","39.7"
"137","3033.73250327654","1","32.6"
"138","3033.77391874181","1","33.5"
"139","3033.81533420708","1","34"
"140","3033.85674967235","1","32.6"
"141","3033.89816513761","1","34.3"
"142","3033.93958060288","1","35.2"
"143","3033.98099606815","1","46.2"
"144","3034.02241153342","1","49.2"
"145","3034.06382699869","1","35.1"
"146","3034.10524246396","1","35"
"147","3034.14665792923","1","34.8"
"148","3034.1880733945","1","33.3"
"149","3034.22948885976","1","32.8"
"150","3034.27090432503","1","34"
"151","3034.3123197903","1","41.6"
"152","3034.35373525557","1","39.6"
"153","3034.39515072084","1","33.3"
"154","3034.43656618611","1","32.6"
"155","3034.47798165138","1","33.8"
"156","3034.51939711664","1","33.6"
"157","3034.56081258191","1","31.5"
"158","3034.60222804718","1","33.1"
"159","3034.64364351245","1","34.7"
"160","3034.68505897772","1","33.7"
"161","3034.72647444299","1","33.6"
"162","3034.76788990826","1","33.4"
"163","3034.80930537353","1","32.8"
"164","3034.85072083879","1","32.4"
"165","3034.89213630406","1","33.2"
"166","3034.93355176933","1","33.7"
"167","3034.9749672346","1","33.7"
"168","3035.01638269987","1","33.6"
"169","3035.05779816514","1","33.1"
"170","3035.09921363041","1","34.3"
"171","3035.14062909567","1","33.4"
"172","3035.18204456094","1","36.6"
"173","3035.22346002621","1","33.9"
"174","3035.26487549148","1","32.8"
"175","3035.30629095675","1","35.5"
"176","3035.34770642202","1","34.8"
"177","3035.38912188729","1","33.6"
"178","3035.43053735256","1","43.6"
"179","3035.47195281782","1","40.3"
