"index","date","status","atomic","master","action"
"47","2025-09-20","MISSING_MASTER",".\out\atomic_clips\047__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"77","2025-09-20","MISSING_MASTER",".\out\atomic_clips\077__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"116","2025-10-04","MISSING_MASTER",".\out\atomic_clips\116__TSC_vs_FC_Tulsa_Black__DRIBBLING__2025-10-04__t387-412.mp4",,"none"
"210","2025-09-20","MISSING_MASTER",".\out\atomic_clips\210__TSC_vs_Greenwood__GOAL__2025-09-20__t2562-2582.mp4",,"none"
"181","2025-09-20","MISSING_MASTER",".\out\atomic_clips\181__TSC_vs_Greenwood__PRESSURE_SHOT__2025-09-20__t1393-1409.mp4",,"none"
"146","2025-09-20","MISSING_MASTER",".\out\atomic_clips\146__TSC_vs_RVFC__PRESSURE_SHOT__2025-09-20__t675-689.mp4",,"none"
"221","2025-09-20","MISSING_MASTER",".\out\atomic_clips\221__TSC_vs_RVFC__PRESSURE_GOAL__2025-09-20__t2411-2431.mp4",,"none"
"31","2025-09-20","MISSING_MASTER",".\out\atomic_clips\031__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
"164","2025-10-07","MISSING_MASTER",".\out\atomic_clips\164__HOME_vs_AWAY__DRIBBLING__2025-10-07__t1972.5-1980.7.mp4",,"none"
"152","2025-10-07","MISSING_MASTER",".\out\atomic_clips\152__HOME_vs_AWAY__GOAL__2025-10-07__t1705.2-1708.5.mp4",,"none"
"150","2025-09-20","MISSING_MASTER",".\out\atomic_clips\150__TSC_vs_RVFC__PRESSURE_SHOT__2025-09-20__t689-702.mp4",,"none"
"7","2025-10-04","HAVE","C:\Users\scott\soccer-video\out\atomic_clips\_quarantine\007__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t46020.00-t47100.00.mp4",,
"92","2025-09-20","MISSING_MASTER",".\out\atomic_clips\092__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__2025-09-20__t1705-1721.mp4",,"none"
