"key","idx","date","home","away","label","t_start","t_end","clip_folder","clip_folder_path","proxy_exists","transforms_exists","stabilized_exists","branded_exists","branded_brand","branded_post","branded_paths","proxy_path","transforms_path","stabilized_path"
"008|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP_SHOT|t1025.00|t1040.00","008","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP_SHOT","t1025.00","t1040.00","008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\008__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1025.00-t1040.00_portrait_FINAL\follow\stabilized.mp4"
"008||||SHOT|t1247.80|t1259.20","008","","","","SHOT","t1247.80","t1259.20","","","False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\008__SHOT__t1247.80-t1259.20_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\008__SHOT__t1247.80-t1259.20_portrait_POST.mp4","","",""
"008|2025-09-13|TSC|NEOFC|SHOT|t1247.80|t1259.20","008","2025-09-13","TSC","NEOFC","SHOT","t1247.80","t1259.20","","","False","False","False","True","False","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\008__2025-09-13__TSC_vs_NEOFC__SHOT__t1247.80-t1259.20_portrait_POST.mp4","","",""
"009|2025-10-04|TSC|FC_Tulsa_Black|PRESSURE_SHOT|t1046.00|t1057.00","009","2025-10-04","TSC","FC_Tulsa_Black","PRESSURE_SHOT","t1046.00","t1057.00","009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\009__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\stabilized.mp4"
"009||||SHOT|t1420.40|t1438.20","009","","","","SHOT","t1420.40","t1438.20","","","False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\009__SHOT__t1420.40-t1438.20_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\009__SHOT__t1420.40-t1438.20_portrait_POST.mp4","","",""
"009|2025-09-13|TSC|NEOFC|SHOT|t1420.40|t1438.20","009","2025-09-13","TSC","NEOFC","SHOT","t1420.40","t1438.20","","","False","False","False","True","False","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\009__2025-09-13__TSC_vs_NEOFC__SHOT__t1420.40-t1438.20_portrait_POST.mp4","","",""
"010|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP_SHOT|t1058.00|t1080.00","010","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP_SHOT","t1058.00","t1080.00","010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\010__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1058.00-t1080.00_portrait_FINAL\follow\stabilized.mp4"
"010||||CROSS|t1541.10|t1547.90","010","","","","CROSS","t1541.10","t1547.90","","","False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\010__CROSS__t1541.10-t1547.90_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\010__CROSS__t1541.10-t1547.90_portrait_POST.mp4","","",""
"010|2025-09-13|TSC|NEOFC|CROSS|t1541.10|t1547.90","010","2025-09-13","TSC","NEOFC","CROSS","t1541.10","t1547.90","","","False","False","False","True","False","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\010__2025-09-13__TSC_vs_NEOFC__CROSS__t1541.10-t1547.90_portrait_POST.mp4","","",""
"011|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP_SHOT|t1198.00|t1222.00","011","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP_SHOT","t1198.00","t1222.00","011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1198.00-t1222.00_portrait_FINAL\follow\stabilized.mp4"
