frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
230,212.5,701.0,interp,0.50,382.5,584.5,53.8,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.881|bounds
231,206.4,702.1,interp,0.50,376.5,584.5,47.7,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.879|bounds
232,200.5,703.1,interp,0.50,370.5,584.5,41.8,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.878|bounds
233,194.7,704.1,interp,0.50,364.7,584.5,35.9,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.876|bounds
234,188.9,705.2,interp,0.50,359.0,584.5,30.2,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.874|bounds
235,183.3,706.2,interp,0.50,353.4,584.5,24.6,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.872|bounds
236,177.8,707.1,interp,0.50,347.9,584.5,19.1,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.870|bounds
237,172.4,708.1,interp,0.50,342.5,584.5,13.7,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.868|bounds
238,167.1,709.0,interp,0.50,337.2,584.5,8.4,0.0,657.5,1168.9,1,133.9,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.866|bounds
239,162.0,710.0,interp,0.50,332.0,584.5,3.2,0.0,657.5,1168.9,1,134.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=3|pb_zfit|keepin_prop=0.16|keepin_zoom=1.350|edge_zoom=0.864|bounds
