"index","date","status","atomic","master"
"171","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\171__2025-10-07__HOME_vs_AWAY__SHOT__t2284.90-t2298.20.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\171__1970-01-01__HOME_vs_AWAY__SHOT__t2284.90-t2298.20_portrait_FINAL\follow\stabilized.mp4"
"18","2025-09-13","RECUT",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\018__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\018__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"198","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\198__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2040-t2058.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\198__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2040.00-t2058.00_portrait_FINAL\follow\stabilized.mp4"
"32","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\032__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\032__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"143","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\143__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046-t1057.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\143__2025-10-04__TSC_vs_FC_Tulsa_Black__PRESSURE_SHOT__t1046.00-t1057.00_portrait_FINAL\follow\stabilized.mp4"
"110","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\110__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\110__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"69","2025-09-13","RECUT",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\069__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\069__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"124","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\124__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495-t513.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\124__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\stabilized.mp4"
"203","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\203__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883-t1893.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\203__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1883.00-t1893.00_portrait_FINAL\follow\stabilized.mp4"
"228","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\228__2025-09-20__TSC_vs_RVFC__GOAL__t3051-t3066.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\228__2025-09-20__TSC_vs_RVFC__GOAL__t3051.00-t3066.00_portrait_FINAL\follow\stabilized.mp4"
"55","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\055__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\055__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"90","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\090__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\090__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"184","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\184__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1437-t1472.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\184__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t1437.00-t1472.00_portrait_FINAL\follow\stabilized.mp4"
"4","2025-09-13","RECUT",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\004__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"49","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\049__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\049__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"94","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\094__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\094__2025-09-20__TSC_vs_Greenwood__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"60","2025-09-13","RECUT",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\060__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\060__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"208","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\208__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2544-t2561.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\208__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t2544.00-t2561.00_portrait_FINAL\follow\stabilized.mp4"
"11","2025-10-04","RECUT",".\out\atomic_clips\2025-10-04__TSC_vs_FC-Tulsa-Black\011__2025-10-04__TSC_vs_FC-Tulsa-Black__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\011__2025-10-04__TSC_vs_FC-Tulsa-Black__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"157","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\157__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988-t1001.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\157__2025-09-20__TSC_vs_Greenwood__PRESSURE_SHOT__t988.00-t1001.00_portrait_FINAL\follow\stabilized.mp4"
"168","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\168__2025-10-07__HOME_vs_AWAY__SHOT__t2029.90-t2039.50.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\168__1970-01-01__HOME_vs_AWAY__SHOT__t2029.90-t2039.50_portrait_FINAL\follow\stabilized.mp4"
"183","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\183__2025-10-07__HOME_vs_AWAY__SHOT__t2860.70-t2873.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\183__1970-01-01__HOME_vs_AWAY__SHOT__t2860.70-t2873.00_portrait_FINAL\follow\stabilized.mp4"
"191","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\191__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1316-t1329.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\191__2025-09-20__TSC_vs_RVFC__PRESSURE_SHOT__t1316.00-t1329.00_portrait_FINAL\follow\stabilized.mp4"
"166","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\166__2025-09-20__TSC_vs_RVFC__SHOT__t930-t937.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\166__2025-09-20__TSC_vs_RVFC__SHOT__t930.00-t937.00_portrait_FINAL\follow\stabilized.mp4"
"62","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\062__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\062__2025-09-20__TSC_vs_RVFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"42","2025-09-13","RECUT",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\042__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705-t1721.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\042__2025-09-13__TSC_vs_NEOFC__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP_SHOT__t1705.00-t1721.00_portrait_FINAL\transforms.json"
"122","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\122__2025-10-07__HOME_vs_AWAY__GOAL__t266.50-t283.10.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\122__1970-01-01__HOME_vs_AWAY__GOAL__t266.50-t283.10_portrait_FINAL\follow\stabilized.mp4"
"156","2025-10-07","RECUT",".\out\atomic_clips\2025-10-07__HOME_vs_AWAY\156__2025-10-07__HOME_vs_AWAY__GOAL__t1767.50-t1772.60.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\156__1970-01-01__HOME_vs_AWAY__GOAL__t1767.50-t1772.60_portrait_FINAL\follow\stabilized.mp4"
"185","2025-09-20","RECUT",".\out\atomic_clips\2025-09-20__TSC_vs_RVFC\185__2025-09-20__TSC_vs_RVFC__CROSS__t1275-t1293.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\185__2025-09-20__TSC_vs_RVFC__CROSS__t1275.00-t1293.00_portrait_FINAL\follow\stabilized.mp4"
